2026-03-10 15:35:01.519 | INFO     | graph:node_generate_fun_fact:309 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Generate Fun Fact for 'apple'
2026-03-10 15:35:01.526 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-03-10 15:35:01.527 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-03-10 15:35:04.465 | ERROR    | theme_classifier:classify_object_to_theme:78 | [THEME_CLASSIFY] Error classifying object: Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 15:35:04.655 | ERROR    | stream.fun_fact:generate_fun_fact:157 | [FUN_FACT] Step 1 (grounding) failed for 'apple': Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 15:35:04.656 | INFO     | graph:node_generate_fun_fact:324 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Generate Fun Fact finished in 3.137s
2026-03-10 15:35:04.657 | INFO     | graph:node_generate_response:534 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Generate Response (introduction)
2026-03-10 15:35:04.657 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-03-10 15:35:04.658 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-03-10 15:35:04.658 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-03-10 15:35:04.658 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: async_generator
2026-03-10 15:35:07.607 | ERROR    | stream.question_generators:ask_introduction_question_stream:149 | answer_question_stream LLM error | error=Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information., duration=2.950s
2026-03-10 15:35:07.608 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-03-10 15:35:07.608 | INFO     | graph:stream_generator_to_callback:524 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Stream finished in 2.951s for introduction
2026-03-10 15:35:07.609 | INFO     | graph:node_generate_response:661 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Generate Response finished in 2.952s
2026-03-10 15:35:07.611 | INFO     | graph:node_generate_question:675 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Generate Question
2026-03-10 15:35:07.611 | INFO     | graph:node_finalize:1069 | [9de81008-0036-45c0-a576-5a6ac3d951f3] Node: Finalize
2026-03-10 15:36:08.729 | INFO     | graph:node_generate_fun_fact:309 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Generate Fun Fact for 'apple'
2026-03-10 15:36:08.730 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-03-10 15:36:08.731 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-03-10 15:36:11.603 | ERROR    | stream.fun_fact:generate_fun_fact:157 | [FUN_FACT] Step 1 (grounding) failed for 'apple': Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 15:36:11.604 | INFO     | graph:node_generate_fun_fact:324 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Generate Fun Fact finished in 2.875s
2026-03-10 15:36:11.605 | INFO     | graph:node_generate_response:534 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Generate Response (introduction)
2026-03-10 15:36:11.605 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-03-10 15:36:11.605 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-03-10 15:36:11.606 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-03-10 15:36:11.606 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: async_generator
2026-03-10 15:36:11.629 | ERROR    | theme_classifier:classify_object_to_theme:78 | [THEME_CLASSIFY] Error classifying object: Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 15:36:14.746 | ERROR    | stream.question_generators:ask_introduction_question_stream:149 | answer_question_stream LLM error | error=Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information., duration=3.141s
2026-03-10 15:36:14.746 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-03-10 15:36:14.747 | INFO     | graph:stream_generator_to_callback:524 | [d69cc262-9bb6-4950-878f-273dafd06259] Stream finished in 3.142s for introduction
2026-03-10 15:36:14.748 | INFO     | graph:node_generate_response:661 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Generate Response finished in 3.143s
2026-03-10 15:36:14.749 | INFO     | graph:node_generate_question:675 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Generate Question
2026-03-10 15:36:14.750 | INFO     | graph:node_finalize:1069 | [d69cc262-9bb6-4950-878f-273dafd06259] Node: Finalize
2026-03-10 17:44:53.906 | INFO     | graph:node_generate_fun_fact:309 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Generate Fun Fact for 'apple'
2026-03-10 17:44:53.910 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-03-10 17:44:53.911 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-03-10 17:44:56.848 | ERROR    | theme_classifier:classify_object_to_theme:78 | [THEME_CLASSIFY] Error classifying object: Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 17:44:56.946 | ERROR    | stream.fun_fact:generate_fun_fact:157 | [FUN_FACT] Step 1 (grounding) failed for 'apple': Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 17:44:56.946 | INFO     | graph:node_generate_fun_fact:324 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Generate Fun Fact finished in 3.040s
2026-03-10 17:44:56.947 | INFO     | graph:node_generate_response:534 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Generate Response (introduction)
2026-03-10 17:44:56.947 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-03-10 17:44:56.948 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-03-10 17:44:56.948 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-03-10 17:44:56.948 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: async_generator
2026-03-10 17:44:59.953 | ERROR    | stream.question_generators:ask_introduction_question_stream:149 | answer_question_stream LLM error | error=Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information., duration=3.006s
2026-03-10 17:44:59.954 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-03-10 17:44:59.954 | INFO     | graph:stream_generator_to_callback:524 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Stream finished in 3.007s for introduction
2026-03-10 17:44:59.954 | INFO     | graph:node_generate_response:661 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Generate Response finished in 3.007s
2026-03-10 17:44:59.956 | INFO     | graph:node_generate_question:675 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Generate Question
2026-03-10 17:44:59.956 | INFO     | graph:node_finalize:1069 | [fb6072f8-d654-490b-a0a8-49c75a727a4b] Node: Finalize
2026-03-10 18:11:44.419 | INFO     | graph:node_generate_fun_fact:309 | [b3811b8c-40e9-435e-b6ee-5625fe9bbcf7] Node: Generate Fun Fact for 'apple'
2026-03-10 18:11:44.420 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-03-10 18:11:44.421 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-03-10 18:11:47.564 | ERROR    | stream.fun_fact:generate_fun_fact:157 | [FUN_FACT] Step 1 (grounding) failed for 'apple': Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information.
2026-03-10 18:11:47.564 | INFO     | graph:node_generate_fun_fact:324 | [b3811b8c-40e9-435e-b6ee-5625fe9bbcf7] Node: Generate Fun Fact finished in 3.145s
2026-03-10 18:11:47.567 | INFO     | graph:node_generate_response:534 | [b3811b8c-40e9-435e-b6ee-5625fe9bbcf7] Node: Generate Response (introduction)
2026-03-10 18:11:47.568 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-03-10 18:11:47.569 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
